shot_end_x,shot_end_y,shot_speed,shot_distance,gk_x,gk_y,gk_dive_distance,ball_travel_time,gk_reach_time,reaction_time,dist_from_center,dist_from_left_post,dist_from_right_post,dist_from_crossbar,dist_from_ground,zone,psxg,is_goal
5.46,0.921,61.4,15.5,2.335,0.3,3.186,0.9568,0.5936,0.1681,1.824,5.46,1.86,1.519,0.921,MID_R,0.05,0
6.021,2.318,84.4,37.4,5.139,0.3,2.202,1.6779,0.0331,0.1463,2.604,6.021,1.299,0.122,2.318,TOP_R,0.62,0
1.101,1.45,72.2,40.0,3.756,0.0,3.025,2.1001,0.4763,0.1639,2.569,1.101,6.219,0.99,1.45,MID_L,0.2875,1
6.657,2.39,96.3,20.5,4.419,0.3,3.062,0.808,0.3719,0.113,3.217,6.657,0.663,0.05,2.39,TOP_R,0.62,1
5.43,1.356,86.0,10.3,4.158,0.0,1.86,0.4548,0.1307,0.1126,1.776,5.43,1.89,1.084,1.356,MID_R,0.05,0
6.133,2.053,86.8,5.4,3.631,0.3,3.055,0.2335,0.438,0.1018,2.609,6.133,1.187,0.387,2.053,TOP_R,0.99,1
6.794,2.39,87.7,6.1,4.221,0.0,3.512,0.2654,0.4558,0.2359,3.346,6.794,0.526,0.05,2.39,TOP_R,0.99,1
1.491,1.398,78.8,13.1,3.444,0.0,2.402,0.6317,0.3007,0.1439,2.176,1.491,5.829,1.042,1.398,MID_L,0.2875,1
0.574,0.622,66.9,19.3,4.166,0.0,3.646,1.0942,0.7105,0.1382,3.144,0.574,6.746,1.818,0.622,LOW_L,0.2875,0
0.588,1.902,60.7,10.4,3.3,0.0,3.312,0.6519,0.4904,0.115,3.147,0.588,6.732,0.538,1.902,TOP_L,0.55,0
0.447,0.676,96.7,21.6,3.09,0.0,2.728,0.8445,0.4733,0.1212,3.259,0.447,6.873,1.764,0.676,LOW_L,0.2875,0
5.668,1.064,58.2,27.3,3.042,0.3,2.735,1.7794,0.4692,0.1321,2.014,5.668,1.652,1.376,1.064,MID_R,0.05,0
0.916,0.263,74.5,7.9,2.863,0.3,1.948,0.3992,0.2994,0.1325,2.907,0.916,6.404,2.177,0.263,LOW_L,0.825,1
2.611,0.998,90.2,11.8,4.006,0.0,1.715,0.4947,0.1612,0.2198,1.072,2.611,4.709,1.442,0.998,MID_C,0.2,0
0.714,1.248,53.4,8.1,3.469,0.3,2.913,0.5718,0.5011,0.08,2.946,0.714,6.606,1.192,1.248,MID_L,0.7375,0
0.819,1.892,78.9,29.1,3.515,0.3,3.13,1.3964,0.4863,0.175,2.919,0.819,6.501,0.548,1.892,TOP_L,0.2875,0
5.233,1.621,74.1,40.0,3.091,0.3,2.517,2.0444,0.3481,0.1819,1.624,5.233,2.087,0.819,1.621,MID_R,0.05,0
3.676,0.475,123.8,10.5,2.477,0.0,1.289,0.3223,0.1122,0.08,0.746,3.676,3.644,1.965,0.475,LOW_C,0.2,0
0.68,0.521,82.7,12.7,1.995,0.5,1.314,0.5797,0.1411,0.0984,3.06,0.68,6.64,1.919,0.521,LOW_L,0.2875,0
6.954,0.262,99.3,24.3,4.273,0.3,2.681,0.9272,0.4827,0.1827,3.43,6.954,0.366,2.178,0.262,LOW_R,0.525,0
5.045,1.601,70.9,10.7,2.314,0.3,3.025,0.5705,0.4953,0.1324,1.437,5.045,2.275,0.839,1.601,MID_R,0.85,1
4.655,0.05,106.2,38.7,3.99,0.3,0.711,1.3825,0.18,0.1669,1.536,4.655,2.665,2.39,0.05,LOW_C,0.335,0
1.251,1.414,103.1,6.9,3.961,0.0,3.057,0.252,0.4899,0.1045,2.417,1.251,6.069,1.026,1.414,MID_L,0.985,1
2.272,0.778,61.1,20.3,2.714,0.3,0.651,1.2585,0.05,0.08,1.457,2.272,5.048,1.662,0.778,LOW_L,0.05,0
6.632,1.806,68.2,9.1,4.3,0.0,2.95,0.5043,0.3957,0.1606,3.03,6.632,0.688,0.634,1.806,TOP_R,0.8875,1
2.609,1.123,127.0,10.6,4.175,0.0,1.926,0.317,0.2038,0.1186,1.055,2.609,4.711,1.317,1.123,MID_C,0.65,1
3.066,0.259,64.0,16.2,4.541,0.0,1.498,0.9612,0.1815,0.1155,1.13,3.066,4.254,2.181,0.259,LOW_C,0.335,0
7.008,0.315,87.7,12.2,3.141,0.0,3.88,0.5281,0.7793,0.1377,3.468,7.008,0.312,2.125,0.315,LOW_R,0.99,1
5.656,1.519,68.0,8.0,3.86,0.5,2.065,0.4448,0.2615,0.08,2.019,5.656,1.664,0.921,1.519,MID_R,0.2,0
2.052,1.089,66.3,11.7,2.266,0.3,0.818,0.6676,0.05,0.2628,1.613,2.052,5.268,1.351,1.089,MID_L,0.05,0
2.972,0.05,100.6,14.0,2.203,0.0,0.771,0.5273,0.18,0.2898,1.357,2.972,4.348,2.39,0.05,LOW_C,0.44,1
1.41,1.264,63.9,5.3,4.847,0.0,3.662,0.3148,0.6717,0.1455,2.25,1.41,5.91,1.176,1.264,MID_L,0.985,1
0.61,0.814,76.5,15.1,3.533,0.3,2.967,0.7487,0.5431,0.1989,3.076,0.61,6.71,1.626,0.814,MID_L,0.55,0
1.628,0.46,65.9,27.6,4.013,0.0,2.429,1.5879,0.4087,0.2184,2.17,1.628,5.692,1.98,0.46,LOW_L,0.05,0
4.81,1.603,69.9,5.4,3.388,0.3,1.928,0.2936,0.1679,0.2008,1.212,4.81,2.51,0.837,1.603,MID_C,0.85,0
6.302,2.2,102.8,24.3,3.642,0.0,3.452,0.8962,0.4775,0.1654,2.818,6.302,1.018,0.24,2.2,TOP_R,0.62,0
4.794,0.5,69.8,32.7,4.701,0.3,0.22,1.7745,0.05,0.2076,1.343,4.794,2.526,1.94,0.5,LOW_C,0.05,0
7.023,1.359,97.0,16.0,4.499,0.3,2.738,0.6252,0.4436,0.1421,3.366,7.023,0.297,1.081,1.359,MID_R,0.55,1
6.304,1.186,73.8,6.1,3.696,0.5,2.696,0.315,0.4644,0.2104,2.644,6.304,1.016,1.254,1.186,MID_R,0.985,1
2.903,2.328,41.0,14.3,3.308,0.0,2.363,1.3242,0.05,0.1687,1.342,2.903,4.417,0.112,2.328,TOP_C,0.43,0
5.191,0.983,109.2,11.8,4.435,0.3,1.019,0.4113,0.0015,0.1219,1.549,5.191,2.129,1.457,0.983,MID_R,0.05,0
2.091,0.703,121.6,13.8,4.181,0.0,2.204,0.4312,0.3348,0.1846,1.652,2.091,5.229,1.737,0.703,LOW_L,0.85,1
5.203,1.024,115.1,17.5,3.447,0.3,1.9,0.5756,0.2517,0.1561,1.556,5.203,2.117,1.416,1.024,MID_R,0.05,0
4.069,1.155,78.6,7.6,3.317,0.0,1.378,0.3649,0.0004,0.1828,0.414,4.069,3.251,1.285,1.155,MID_C,0.05,0
1.975,0.297,59.0,6.0,2.806,0.3,0.831,0.3828,0.081,0.2139,1.921,1.975,5.345,2.143,0.297,LOW_L,0.44,1
2.238,1.418,85.1,11.5,3.206,0.0,1.717,0.5114,0.0544,0.182,1.436,2.238,5.082,1.022,1.418,MID_L,0.05,0
0.731,1.971,89.1,16.9,3.082,0.0,3.068,0.7167,0.4003,0.2227,3.023,0.731,6.589,0.469,1.971,TOP_L,0.4,1
6.834,1.987,82.3,33.9,4.202,0.0,3.298,1.5634,0.4706,0.1023,3.266,6.834,0.486,0.453,1.987,TOP_R,0.2875,0
3.33,1.338,99.7,30.9,4.102,0.5,1.14,1.1737,0.0056,0.1604,0.351,3.33,3.99,1.102,1.338,MID_C,0.05,0
2.2,1.811,68.6,8.0,3.001,0.0,1.98,0.4412,0.0128,0.1252,1.575,2.2,5.12,0.629,1.811,TOP_L,0.05,0
3.458,0.776,85.6,19.3,3.868,0.0,0.877,0.8538,0.05,0.1312,0.488,3.458,3.862,1.664,0.776,LOW_C,0.05,0
5.74,1.563,73.2,5.5,2.261,0.3,3.701,0.2871,0.6823,0.1753,2.108,5.74,1.58,0.877,1.563,MID_R,0.98,1
5.7,0.31,89.2,13.2,3.394,0.3,2.305,0.5619,0.3888,0.1612,2.233,5.7,1.62,2.13,0.31,LOW_R,0.58,1
6.939,1.41,79.1,13.8,4.244,0.3,2.915,0.663,0.4863,0.1367,3.285,6.939,0.381,1.03,1.41,MID_R,0.55,1
0.693,2.352,107.3,7.1,3.316,0.3,3.33,0.2499,0.4682,0.1083,3.176,0.693,6.627,0.088,2.352,TOP_L,0.99,1
3.389,1.002,76.9,17.0,3.507,0.0,1.009,0.8371,0.05,0.2248,0.348,3.389,3.931,1.438,1.002,MID_C,0.05,0
3.916,1.323,75.5,17.0,3.891,0.0,1.323,0.8543,0.05,0.1704,0.276,3.916,3.404,1.117,1.323,MID_C,0.05,0
6.242,2.09,50.3,17.5,5.304,0.0,2.291,1.3193,0.047,0.2068,2.724,6.242,1.078,0.35,2.09,TOP_R,0.62,1
6.337,1.738,53.0,24.0,3.047,0.0,3.721,1.716,0.635,0.1854,2.727,6.337,0.983,0.702,1.738,TOP_R,0.2875,0
1.759,1.122,80.2,9.6,2.983,0.3,1.475,0.4554,0.1186,0.1677,1.904,1.759,5.561,1.318,1.122,MID_L,0.05,0
5.647,1.253,74.7,29.4,4.454,0.3,1.527,1.489,0.1107,0.1861,1.987,5.647,1.673,1.187,1.253,MID_R,0.05,0
0.735,1.765,68.1,8.4,4.793,0.0,4.425,0.4681,0.827,0.1722,2.975,0.735,6.585,0.675,1.765,TOP_L,0.985,1
5.223,0.777,40.0,5.9,3.386,0.3,1.898,0.5592,0.2718,0.08,1.624,5.223,2.097,1.663,0.777,LOW_R,0.05,0
2.5,0.971,99.0,19.5,3.639,0.0,1.497,0.748,0.0973,0.1604,1.187,2.5,4.82,1.469,0.971,MID_C,0.05,0
0.275,0.764,85.8,40.0,4.153,0.3,3.906,1.7677,0.7821,0.1011,3.416,0.275,7.045,1.676,0.764,LOW_L,0.2875,0
0.909,2.187,89.8,9.3,4.595,0.5,4.053,0.391,0.7339,0.2133,2.916,0.909,6.411,0.253,2.187,TOP_L,0.99,1
1.836,1.057,102.6,12.2,3.957,0.3,2.252,0.4515,0.3427,0.2591,1.832,1.836,5.484,1.383,1.057,MID_L,0.98,1
1.747,1.994,91.7,29.7,3.484,0.0,2.644,1.2252,0.2466,0.0844,2.063,1.747,5.573,0.446,1.994,TOP_L,0.05,0
6.539,1.307,46.8,5.4,3.672,0.3,3.038,0.4349,0.5292,0.08,2.88,6.539,0.781,1.133,1.307,MID_R,0.985,1
6.344,1.384,84.5,15.6,6.136,0.0,1.4,0.7013,0.05,0.2255,2.689,6.344,0.976,1.056,1.384,MID_R,0.2875,0
5.629,0.234,59.5,26.7,4.44,0.0,1.211,1.6998,0.1097,0.1141,2.202,5.629,1.691,2.206,0.234,LOW_R,0.335,0
6.014,0.854,80.4,12.1,3.471,0.0,2.683,0.5687,0.4483,0.0922,2.383,6.014,1.306,1.586,0.854,MID_R,0.55,1
1.89,1.602,78.2,22.8,2.364,0.0,1.671,1.1059,0.05,0.1364,1.811,1.89,5.43,0.838,1.602,MID_L,0.05,0
5.722,0.427,62.0,16.2,2.61,0.0,3.141,0.9873,0.5905,0.1854,2.209,5.722,1.598,2.013,0.427,LOW_R,0.05,0
4.824,1.95,73.5,40.0,3.595,0.0,2.306,2.0634,0.1199,0.1274,1.374,4.824,2.496,0.49,1.95,TOP_C,0.05,0
0.628,0.05,56.1,29.3,3.867,0.0,3.24,1.9781,0.6847,0.2544,3.25,0.628,6.692,2.39,0.05,LOW_L,0.525,1
0.744,1.917,80.1,20.7,3.217,0.5,2.85,0.9822,0.4306,0.1203,2.998,0.744,6.576,0.523,1.917,TOP_L,0.2875,0
2.74,0.05,76.8,22.6,3.555,0.0,0.816,1.1126,0.18,0.159,1.488,2.74,4.58,2.39,0.05,LOW_C,0.335,0
4.562,1.504,93.2,7.1,2.667,0.3,2.245,0.2881,0.2862,0.1966,0.946,4.562,2.758,0.936,1.504,MID_C,0.98,1
0.798,0.371,86.9,24.8,2.439,0.3,1.643,1.0812,0.2228,0.2145,2.986,0.798,6.522,2.069,0.371,LOW_L,0.525,1
1.343,1.555,83.3,14.9,4.196,0.0,3.249,0.6799,0.5258,0.08,2.341,1.343,5.977,0.885,1.555,MID_L,0.4,0
1.175,0.502,77.0,28.9,2.97,0.0,1.864,1.4213,0.2613,0.0805,2.587,1.175,6.145,1.938,0.502,LOW_L,0.2875,0
0.513,1.511,77.5,20.1,4.446,0.0,4.214,0.9818,0.7958,0.1543,3.161,0.513,6.807,0.929,1.511,MID_L,0.55,1
4.792,0.927,61.0,7.2,3.741,0.3,1.225,0.446,0.0754,0.1761,1.17,4.792,2.528,1.513,0.927,MID_C,0.05,0
5.944,1.757,82.7,11.4,3.607,0.3,2.754,0.5224,0.3968,0.142,2.346,5.944,1.376,0.683,1.757,TOP_R,0.7375,1
3.853,0.438,74.8,24.7,4.115,0.0,0.51,1.2502,0.05,0.1736,0.806,3.853,3.467,2.002,0.438,LOW_C,0.05,0
3.827,0.83,79.0,16.3,4.686,0.5,0.92,0.7832,0.0271,0.135,0.425,3.827,3.493,1.61,0.83,MID_C,0.05,0
4.623,0.664,68.3,16.7,4.059,0.0,0.871,0.9289,0.05,0.1762,1.113,4.623,2.697,1.776,0.664,LOW_C,0.05,0
0.506,1.963,65.6,7.8,2.581,0.3,2.659,0.4487,0.3313,0.1876,3.24,0.506,6.814,0.477,1.963,TOP_L,0.8875,1
1.018,1.82,84.8,40.0,4.512,0.0,3.94,1.7883,0.6861,0.1784,2.709,1.018,6.302,0.62,1.82,TOP_L,0.2875,1
7.27,0.526,92.2,10.5,4.839,0.0,2.487,0.4312,0.4202,0.08,3.676,7.27,0.05,1.914,0.526,LOW_R,0.8875,1
7.081,0.322,79.1,9.9,4.257,0.3,2.823,0.4726,0.5183,0.1847,3.537,7.081,0.239,2.118,0.322,LOW_R,0.99,1
6.988,0.588,116.6,17.1,3.246,0.0,3.788,0.5554,0.748,0.1761,3.387,6.988,0.332,1.852,0.588,LOW_R,0.985,1
7.102,0.422,109.7,7.0,2.812,0.5,4.29,0.2414,0.8849,0.2107,3.533,7.102,0.218,2.018,0.422,LOW_R,0.985,1
3.83,1.115,52.5,26.0,4.317,0.0,1.217,1.8749,0.05,0.1978,0.2,3.83,3.49,1.325,1.115,MID_C,0.05,0
0.768,0.641,69.5,39.2,4.262,0.3,3.511,2.1402,0.6861,0.1683,2.95,0.768,6.552,1.799,0.641,LOW_L,0.2875,0
6.661,0.781,104.3,29.3,4.139,0.0,2.64,1.0644,0.4431,0.18,3.033,6.661,0.659,1.659,0.781,LOW_R,0.2875,0
6.805,2.13,55.3,16.2,3.755,0.0,3.72,1.1091,0.575,0.1242,3.274,6.805,0.515,0.31,2.13,TOP_R,0.62,0
4.778,0.52,78.5,13.5,3.61,0.3,1.189,0.6499,0.1045,0.1466,1.319,4.778,2.542,1.92,0.52,LOW_C,0.05,0
6.413,0.678,81.7,10.9,4.723,0.0,1.821,0.5035,0.2351,0.146,2.806,6.413,0.907,1.762,0.678,LOW_R,0.4,0
1.884,0.641,57.6,5.9,2.885,0.0,1.189,0.3902,0.0629,0.1927,1.868,1.884,5.436,1.799,0.641,LOW_L,0.2,0
2.78,0.554,79.9,27.6,2.6,0.3,0.312,1.3093,0.05,0.2357,1.103,2.78,4.54,1.886,0.554,LOW_C,0.05,0
5.184,1.271,101.1,5.1,3.277,0.0,2.292,0.1925,0.2894,0.08,1.525,5.184,2.136,1.169,1.271,MID_R,0.98,1
0.064,0.507,85.4,5.8,3.959,0.0,3.928,0.2573,0.7863,0.1908,3.667,0.064,7.256,1.933,0.507,LOW_L,0.985,1
0.715,0.403,74.6,21.0,1.68,0.0,1.046,1.069,0.0537,0.1278,3.056,0.715,6.605,2.037,0.403,LOW_L,0.2875,0
5.031,0.328,81.8,5.5,3.408,0.5,1.632,0.2535,0.2182,0.2205,1.636,5.031,2.289,2.112,0.328,LOW_R,0.986,1
5.117,0.616,76.7,7.0,3.743,0.3,1.41,0.3436,0.156,0.2361,1.578,5.117,2.203,1.824,0.616,LOW_R,0.65,1
2.697,1.779,87.0,18.0,3.082,0.0,1.821,0.7837,0.05,0.1641,1.114,2.697,4.623,0.661,1.779,TOP_C,0.05,0
5.395,1.015,88.2,23.3,3.259,0.0,2.365,1.0011,0.3466,0.106,1.747,5.395,1.925,1.425,1.015,MID_R,0.05,0
2.723,0.778,74.6,35.4,2.663,0.0,0.78,1.7951,0.05,0.1615,1.036,2.723,4.597,1.662,0.778,LOW_C,0.05,0
5.275,2.028,104.0,8.3,3.677,0.3,2.354,0.3027,0.2121,0.1362,1.806,5.275,2.045,0.412,2.028,TOP_R,0.79,1
3.459,1.17,104.7,20.6,3.351,0.3,0.876,0.7472,0.05,0.1591,0.207,3.459,3.861,1.27,1.17,MID_C,0.05,0
0.316,0.402,44.6,20.5,2.985,0.0,2.699,1.7438,0.4797,0.1793,3.443,0.316,7.004,2.038,0.402,LOW_L,0.2875,0
1.896,1.718,63.0,11.8,3.657,0.0,2.46,0.7111,0.2527,0.1798,1.833,1.896,5.424,0.722,1.718,TOP_L,0.05,0
1.962,1.644,70.8,14.7,4.129,0.0,2.72,0.7881,0.3544,0.2223,1.75,1.962,5.358,0.796,1.644,TOP_L,0.05,0
5.959,1.118,101.2,21.9,4.699,0.3,1.502,0.8216,0.1274,0.0964,2.301,5.959,1.361,1.322,1.118,MID_R,0.2875,0
3.667,0.594,60.4,18.1,3.589,0.0,0.599,1.1332,0.05,0.091,0.627,3.667,3.653,1.846,0.594,LOW_C,0.05,0
3.396,0.81,94.8,16.0,3.12,0.3,0.58,0.6384,0.05,0.2045,0.488,3.396,3.924,1.63,0.81,LOW_C,0.05,0
1.955,1.332,70.1,10.6,3.837,0.0,2.306,0.5739,0.2832,0.121,1.709,1.955,5.365,1.108,1.332,MID_L,0.05,0
4.588,1.529,79.6,13.2,3.0,0.0,2.204,0.63,0.2093,0.1652,0.978,4.588,2.732,0.911,1.529,MID_C,0.05,0
0.118,0.328,57.3,38.9,3.035,0.3,2.917,2.5717,0.5416,0.08,3.652,0.118,7.202,2.112,0.328,LOW_L,0.525,1
2.256,0.05,56.6,13.2,3.138,0.0,0.884,0.8853,0.18,0.1199,1.828,2.256,5.064,2.39,0.05,LOW_L,0.335,0
0.764,0.289,61.5,9.0,2.604,0.3,1.84,0.5538,0.2726,0.1023,3.042,0.764,6.556,2.151,0.289,LOW_L,0.525,1
1.184,0.993,40.0,10.1,4.361,0.3,3.251,0.9588,0.6066,0.1624,2.486,1.184,6.136,1.447,0.993,MID_L,0.2875,0
0.383,1.022,75.9,20.7,2.633,0.0,2.471,1.0363,0.375,0.1784,3.283,0.383,6.937,1.418,1.022,MID_L,0.2875,0
2.69,0.811,67.7,27.8,2.855,0.0,0.827,1.558,0.05,0.1352,1.053,2.69,4.63,1.629,0.811,LOW_C,0.05,0
5.911,1.276,70.6,6.8,3.019,0.0,3.161,0.366,0.5356,0.1825,2.252,5.911,1.409,1.164,1.276,MID_R,0.985,1
4.793,0.586,55.6,24.0,3.744,0.0,1.202,1.6335,0.0747,0.1564,1.298,4.793,2.527,1.854,0.586,LOW_C,0.05,0
4.939,0.416,79.6,40.0,5.092,0.0,0.443,1.9044,0.05,0.169,1.511,4.939,2.381,2.024,0.416,LOW_R,0.05,0
5.712,2.39,63.3,10.7,4.354,0.3,2.492,0.6432,0.152,0.1557,2.362,5.712,1.608,0.05,2.39,TOP_R,0.43,1
1.934,2.124,103.6,11.0,3.506,0.0,2.642,0.404,0.2054,0.1926,1.948,1.934,5.386,0.316,2.124,TOP_L,0.64,0
1.973,0.864,100.4,5.4,3.586,0.0,1.83,0.204,0.2158,0.1225,1.724,1.973,5.347,1.576,0.864,MID_L,0.92,1
6.272,0.287,102.6,9.6,3.87,0.0,2.419,0.3555,0.413,0.1652,2.774,6.272,1.048,2.153,0.287,LOW_R,0.986,1
7.172,1.601,50.2,5.4,3.945,0.3,3.48,0.4047,0.6194,0.1647,3.533,7.172,0.148,0.839,1.601,MID_R,0.985,1
5.775,1.904,78.5,12.6,3.676,0.0,2.834,0.6104,0.3373,0.2153,2.223,5.775,1.545,0.536,1.904,TOP_R,0.2,0
5.546,0.849,50.2,33.3,5.03,0.3,0.753,2.5125,0.05,0.0929,1.922,5.546,1.774,1.591,0.849,MID_R,0.05,0
6.078,1.258,78.8,5.4,3.27,0.0,3.077,0.2586,0.5145,0.1649,2.418,6.078,1.242,1.182,1.258,MID_R,0.985,1
6.925,0.205,88.8,13.6,4.534,0.0,2.4,0.5817,0.4104,0.1757,3.419,6.925,0.395,2.235,0.205,LOW_R,0.825,0
3.875,1.381,86.1,33.5,4.332,0.0,1.454,1.4757,0.05,0.245,0.269,3.875,3.445,1.059,1.381,MID_C,0.05,0
1.053,1.508,113.1,5.5,2.631,0.3,1.987,0.1847,0.2069,0.1855,2.623,1.053,6.267,0.932,1.508,MID_L,0.985,1
5.519,1.964,51.5,40.0,2.996,0.3,3.022,2.9424,0.4432,0.2043,2.002,5.519,1.801,0.476,1.964,TOP_R,0.05,0
5.84,2.232,100.2,5.8,5.145,0.3,2.053,0.2193,0.05,0.0901,2.403,5.84,1.48,0.208,2.232,TOP_R,0.68,0
2.132,1.743,76.1,11.7,4.144,0.0,2.662,0.5837,0.3155,0.1158,1.615,2.132,5.188,0.697,1.743,TOP_L,0.05,0
6.813,0.428,96.5,13.7,4.556,0.0,2.297,0.5396,0.3767,0.2237,3.251,6.813,0.507,2.012,0.428,LOW_R,0.8875,1
3.238,2.263,86.1,15.7,2.817,0.0,2.302,0.6932,0.05,0.1891,1.125,3.238,4.082,0.177,2.263,TOP_C,0.43,1
5.282,0.535,84.1,5.0,3.669,0.0,1.7,0.227,0.2159,0.1402,1.761,5.282,2.038,1.905,0.535,LOW_R,0.92,1
